sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
2016.02,8.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,3.0,4.0,27.0,1977.0,592.12,73.0,310.0,0.0,247146.76
2016.0,6.0,1.0,0.0,1.0,0.0,1.0,14.76,1.0,0.0,3.0,3.0,3.0,2.0,28.0,1965.0,783.64,97.0,708.0,0.0,222000.0
2016.0,6.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,3.48,3.0,2.0,28.0,1944.0,500.0,98.0,519.0,0.0,150000.0
2016.08,6.0,1.0,1.0,1.0,0.0,2.0,15.0,1.0,0.0,4.0,5.0,3.0,2.0,28.0,1964.0,1000.0,55.0,1265.0,0.0,370483.28
2016.06,6.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,1.0,5.0,28.0,1952.0,609.88,98.0,505.0,190.0,142480.0
2016.16,4.0,0.0,0.0,1.0,1.0,1.0,4.12,1.0,0.0,3.0,3.0,3.0,4.0,27.1,1950.0,618.8,79.0,620.0,38.0,139440.0
2016.0,8.0,1.0,1.0,1.0,0.0,2.0,6.0,1.0,0.0,4.0,5.0,3.0,2.0,28.0,1936.0,1050.0,84.0,941.0,0.0,315000.0
2016.04,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,5.0,3.0,2.0,28.0,1948.0,994.6,85.0,1283.0,75.0,255626.0
2016.06,6.0,0.0,0.0,1.0,0.0,2.0,15.0,2.0,0.0,6.0,5.0,3.0,4.0,28.0,1967.0,1415.0,99.0,1478.0,180.0,738530.0
2016.04,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,5.0,4.0,3.0,5.0,25.0,2003.0,832.6,94.0,383.1,0.0,472126.0
2016.92,2.0,1.0,0.0,1.0,0.0,3.0,21.0,3.0,0.0,7.0,5.0,1.0,4.0,25.0,1968.0,2400.0,40.0,2712.0,123.0,759749.84
2016.04,8.0,1.0,0.0,1.0,0.0,1.0,4.86,1.0,0.0,3.0,3.0,3.0,2.0,27.0,1960.0,703.94,77.0,660.36,0.0,133990.0
2016.06,9.0,0.0,0.0,2.0,0.0,1.0,3.42,1.0,0.0,3.0,4.0,3.0,4.0,24.0,2004.0,550.0,90.0,265.9,0.0,227513.0
2016.0,3.0,1.0,1.0,2.0,1.0,2.0,11.74,2.0,0.0,6.0,3.0,3.0,2.0,28.0,1973.0,1000.0,90.0,780.36,0.0,535640.0
2016.0,3.0,0.0,0.0,2.0,0.0,2.0,11.0,1.0,0.0,4.0,3.1,5.0,5.0,25.0,1973.0,778.0,90.0,498.0,0.0,452000.0
